asset,date,n_prior_sessions,last_bar_date,prev_close_full,prev_open_full,prev_high_full,prev_low_full,atr14_full,rsi2_full,d_full_P,d_full_R1,d_full_S1,d_full_R2,d_full_S2,d_full_R3,d_full_S3,prev_open_cash,prev_high_cash,prev_low_cash,prev_close_cash,atr14_cash,rsi2_cash,d_cash_P,d_cash_R1,d_cash_S1,d_cash_R2,d_cash_S2,d_cash_R3,d_cash_S3,w_full_period,w_full_P,w_full_R1,w_full_S1,w_full_R2,w_full_S2,w_full_R3,w_full_S3,w_cash_period,w_cash_P,w_cash_R1,w_cash_S1,w_cash_R2,w_cash_S2,w_cash_R3,w_cash_S3,m_full_period,m_full_P,m_full_R1,m_full_S1,m_full_R2,m_full_S2,m_full_R3,m_full_S3,m_cash_period,m_cash_P,m_cash_R1,m_cash_S1,m_cash_R2,m_cash_S2,m_cash_R3,m_cash_S3,swing_high_5d_full,swing_low_5d_full,swing_high_25d_full,swing_low_25d_full,swing_high_5d_cash,swing_low_5d_cash,swing_high_25d_cash,swing_low_25d_cash
US500,2026-07-17,77,2026-07-16,7526.2,7573.3,7589.5,7506.0,78.4714,35.0975,7540.5667,7575.1333,7491.6333,7624.0667,7457.0667,7658.6333,7408.1333,7554.0,7572.2,7506.0,7536.2,70.3,42.1779,7538.1333,7570.2667,7504.0667,7604.3333,7471.9333,7636.4667,7437.8667,2026-W28,7526.7667,7633.0333,7473.6333,7686.1667,7367.3667,7792.4333,7314.2333,2026-W28,7524.9333,7628.7667,7470.3667,7683.3333,7366.5333,7787.1667,7311.9667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7589.5,7488.4,7589.5,7300.2,7582.8,7505.6,7583.4,7303.1
US500,2026-07-20,78,2026-07-17,7455.3,7531.2,7533.1,7431.6,78.2214,0.0,7473.3333,7515.0667,7413.5667,7574.8333,7371.8333,7616.5667,7312.0667,7443.7,7497.3,7431.6,7456.6,69.5714,0.0,7461.8333,7492.0667,7426.3667,7527.5333,7396.1333,7557.7667,7360.6667,2026-W29,7492.1333,7552.6667,7394.7667,7650.0333,7334.2333,7710.5667,7236.8667,2026-W29,7490.3333,7549.0667,7397.8667,7641.5333,7339.1333,7700.2667,7246.6667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7589.5,7431.6,7589.5,7300.2,7582.8,7431.6,7583.4,7303.1
US500,2026-07-21,79,2026-07-20,7444.3,7450.1,7512.8,7437.8,77.4571,0.0,7464.9667,7492.1333,7417.1333,7539.9667,7389.9667,7567.1333,7342.1333,7495.3,7512.8,7439.3,7446.6,69.7,0.0,7466.2333,7493.1667,7419.6667,7539.7333,7392.7333,7566.6667,7346.1667,2026-W29,7492.1333,7552.6667,7394.7667,7650.0333,7334.2333,7710.5667,7236.8667,2026-W29,7490.3333,7549.0667,7397.8667,7641.5333,7339.1333,7700.2667,7246.6667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7589.5,7431.6,7589.5,7300.2,7582.8,7431.6,7582.8,7303.1
US500,2026-07-22,80,2026-07-21,7503.7,7447.5,7515.7,7435.0,78.0214,84.375,7484.8,7534.6,7453.9,7565.5,7404.1,7615.3,7373.2,7487.7,7515.7,7466.5,7508.0,69.4357,85.9944,7496.7333,7526.9667,7477.7667,7545.9333,7447.5333,7576.1667,7428.5667,2026-W29,7492.1333,7552.6667,7394.7667,7650.0333,7334.2333,7710.5667,7236.8667,2026-W29,7490.3333,7549.0667,7397.8667,7641.5333,7339.1333,7700.2667,7246.6667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7589.5,7431.6,7589.5,7300.2,7582.8,7431.6,7582.8,7303.1
US500,2026-07-23,81,2026-07-22,7506.5,7506.7,7525.5,7467.8,74.0,100.0,7499.9333,7532.0667,7474.3667,7557.6333,7442.2333,7589.7667,7416.6667,7490.3,7525.5,7488.0,7498.8,63.9714,86.9688,7504.1,7520.2,7482.7,7541.6,7466.6,7557.7,7445.2,2026-W29,7492.1333,7552.6667,7394.7667,7650.0333,7334.2333,7710.5667,7236.8667,2026-W29,7490.3333,7549.0667,7397.8667,7641.5333,7339.1333,7700.2667,7246.6667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7589.5,7431.6,7589.5,7300.2,7572.2,7431.6,7582.8,7303.1
US500,2026-07-24,82,2026-07-23,7418.0,7496.2,7513.0,7375.3,80.8143,3.0668,7435.4333,7495.5667,7357.8667,7573.1333,7297.7333,7633.2667,7220.1667,7416.7,7449.8,7375.3,7405.5,70.1643,0.0,7410.2,7445.1,7370.6,7484.7,7335.7,7519.6,7296.1,2026-W29,7492.1333,7552.6667,7394.7667,7650.0333,7334.2333,7710.5667,7236.8667,2026-W29,7490.3333,7549.0667,7397.8667,7641.5333,7339.1333,7700.2667,7246.6667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7533.1,7375.3,7589.5,7300.2,7525.5,7375.3,7582.8,7303.1
US500,2026-07-27,83,2026-07-24,7408.8,7415.2,7460.2,7395.6,80.8357,0.0,7421.5333,7447.4667,7382.8667,7486.1333,7356.9333,7512.0667,7318.2667,7407.6,7460.2,7395.6,7411.8,71.2071,6.3253,7422.5333,7449.4667,7384.8667,7487.1333,7357.9333,7514.0667,7320.2667,2026-W30,7436.5333,7497.7667,7347.5667,7586.7333,7286.3333,7647.9667,7197.3667,2026-W30,7437.5333,7499.7667,7349.5667,7587.7333,7287.3333,7649.9667,7199.3667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7525.5,7375.3,7589.5,7300.2,7525.5,7375.3,7582.8,7303.1
US500,2026-07-28,84,2026-07-27,7417.8,7471.0,7491.0,7382.9,83.4714,49.4505,7430.5667,7478.2333,7370.1333,7538.6667,7322.4667,7586.3333,7262.0333,7473.8,7480.3,7382.9,7415.5,73.7286,100.0,7426.2333,7469.5667,7372.1667,7523.6333,7328.8333,7566.9667,7274.7667,2026-W30,7436.5333,7497.7667,7347.5667,7586.7333,7286.3333,7647.9667,7197.3667,2026-W30,7437.5333,7499.7667,7349.5667,7587.7333,7287.3333,7649.9667,7199.3667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7525.5,7375.3,7589.5,7300.2,7525.5,7375.3,7582.8,7303.1
US500,2026-07-29,85,2026-07-28,7435.6,7422.2,7452.9,7384.6,81.6071,100.0,7424.3667,7464.1333,7395.8333,7492.6667,7356.0667,7532.4333,7327.5333,7417.4,7452.9,7384.6,7433.6,72.6643,100.0,7423.7,7462.8,7394.5,7492.0,7355.4,7531.1,7326.2,2026-W30,7436.5333,7497.7667,7347.5667,7586.7333,7286.3333,7647.9667,7197.3667,2026-W30,7437.5333,7499.7667,7349.5667,7587.7333,7287.3333,7649.9667,7199.3667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7525.5,7375.3,7589.5,7300.2,7525.5,7375.3,7582.8,7303.1
US500,2026-07-30,86,2026-07-29,7306.6,7435.8,7468.5,7292.2,88.5643,12.1253,7355.7667,7419.3333,7243.0333,7532.0667,7179.4667,7595.6333,7066.7333,7424.5,7450.5,7314.5,7317.5,77.4643,13.4873,7360.8333,7407.1667,7271.1667,7496.8333,7224.8333,7543.1667,7135.1667,2026-W30,7436.5333,7497.7667,7347.5667,7586.7333,7286.3333,7647.9667,7197.3667,2026-W30,7437.5333,7499.7667,7349.5667,7587.7333,7287.3333,7649.9667,7199.3667,2026-06,7447.0333,7664.7667,7269.4667,7842.3333,7051.7333,8060.0667,6874.1667,2026-06,7453.6667,7664.2333,7282.7333,7835.1667,7072.1667,8045.7333,6901.2333,7513.0,7292.2,7589.5,7292.2,7480.3,7314.5,7582.8,7303.1
