asset,date,n_prior_sessions,last_bar_date,prev_close_full,prev_open_full,prev_high_full,prev_low_full,atr14_full,rsi2_full,d_full_P,d_full_R1,d_full_S1,d_full_R2,d_full_S2,d_full_R3,d_full_S3,prev_open_cash,prev_high_cash,prev_low_cash,prev_close_cash,atr14_cash,rsi2_cash,d_cash_P,d_cash_R1,d_cash_S1,d_cash_R2,d_cash_S2,d_cash_R3,d_cash_S3,w_full_period,w_full_P,w_full_R1,w_full_S1,w_full_R2,w_full_S2,w_full_R3,w_full_S3,w_cash_period,w_cash_P,w_cash_R1,w_cash_S1,w_cash_R2,w_cash_S2,w_cash_R3,w_cash_S3,m_full_period,m_full_P,m_full_R1,m_full_S1,m_full_R2,m_full_S2,m_full_R3,m_full_S3,m_cash_period,m_cash_P,m_cash_R1,m_cash_S1,m_cash_R2,m_cash_S2,m_cash_R3,m_cash_S3,swing_high_5d_full,swing_low_5d_full,swing_high_25d_full,swing_low_25d_full,swing_high_5d_cash,swing_low_5d_cash,swing_high_25d_cash,swing_low_25d_cash
XAUUSD,2026-07-02,65,2026-07-01,4031.08,4012.31,4115.53,3960.17,111.6736,72.0994,4035.5933,4111.0167,3955.6567,4190.9533,3880.2333,4266.3767,3800.2967,4047.26,4115.53,4034.58,4038.8,85.5136,100.0,4062.97,4091.36,4010.41,4143.92,3982.02,4172.31,3929.46,2026-W26,4086.99,4214.85,3953.36,4348.48,3825.5,4476.34,3691.87,2026-W26,4080.47,4201.81,3950.23,4332.05,3828.89,4453.39,3698.65,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4115.53,3943.08,4595.21,3943.08,4115.53,3999.17,4595.21,3959.13
XAUUSD,2026-07-03,66,2026-07-02,4123.79,4033.74,4143.94,4030.72,114.3221,100.0,4099.4833,4168.2467,4055.0267,4212.7033,3986.2633,4281.4667,3941.8067,4113.1,4143.94,4100.46,4121.29,88.8464,100.0,4121.8967,4143.3333,4099.8533,4165.3767,4078.4167,4186.8133,4056.3733,2026-W26,4086.99,4214.85,3953.36,4348.48,3825.5,4476.34,3691.87,2026-W26,4080.47,4201.81,3950.23,4332.05,3828.89,4453.39,3698.65,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4143.94,3943.08,4595.21,3943.08,4143.94,4000.66,4595.21,3959.13
XAUUSD,2026-07-06,67,2026-07-03,4174.97,4126.09,4195.34,4121.17,108.7257,100.0,4163.8267,4206.4833,4132.3133,4237.9967,4089.6567,4280.6533,4058.1433,4171.5,4176.47,4155.36,4174.97,81.4479,100.0,4168.9333,4182.5067,4161.3967,4190.0433,4147.8233,4203.6167,4140.2867,2026-W27,4104.4633,4265.8467,4013.5867,4356.7233,3852.2033,4518.1067,3761.3267,2026-W27,4117.3667,4234.0733,4058.2633,4293.1767,3941.5567,4409.8833,3882.4533,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4195.34,3943.08,4545.87,3943.08,4176.47,4000.66,4515.44,3959.13
XAUUSD,2026-07-07,68,2026-07-06,4164.93,4178.28,4202.71,4128.51,110.5214,83.6001,4165.3833,4202.2567,4128.0567,4239.5833,4091.1833,4276.4567,4053.8567,4142.26,4167.55,4128.51,4163.84,82.3579,82.8267,4153.3,4178.09,4139.05,4192.34,4114.26,4217.13,4100.01,2026-W27,4104.4633,4265.8467,4013.5867,4356.7233,3852.2033,4518.1067,3761.3267,2026-W27,4117.3667,4234.0733,4058.2633,4293.1767,3941.5567,4409.8833,3882.4533,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4202.71,3943.08,4541.57,3943.08,4176.47,4013.31,4515.44,3959.13
XAUUSD,2026-07-08,69,2026-07-07,4105.98,4166.72,4180.52,4092.4,105.1586,0.0,4126.3,4160.2,4072.08,4214.42,4038.18,4248.32,3983.96,4166.74,4180.52,4092.4,4114.17,76.995,0.0,4129.03,4165.66,4077.54,4217.15,4040.91,4253.78,3989.42,2026-W27,4104.4633,4265.8467,4013.5867,4356.7233,3852.2033,4518.1067,3761.3267,2026-W27,4117.3667,4234.0733,4058.2633,4293.1767,3941.5567,4409.8833,3882.4533,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4202.71,3960.17,4515.44,3943.08,4180.52,4034.58,4515.44,3959.13
XAUUSD,2026-07-09,70,2026-07-08,4077.47,4094.61,4134.01,4021.75,104.0221,0.0,4077.7433,4133.7367,4021.4767,4190.0033,3965.4833,4245.9967,3909.2167,4066.76,4091.49,4021.75,4080.17,78.2379,0.0,4064.47,4107.19,4037.45,4134.21,3994.73,4176.93,3967.71,2026-W27,4104.4633,4265.8467,4013.5867,4356.7233,3852.2033,4518.1067,3761.3267,2026-W27,4117.3667,4234.0733,4058.2633,4293.1767,3941.5567,4409.8833,3882.4533,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4202.71,4021.75,4515.44,3943.08,4180.52,4021.75,4515.44,3959.13
XAUUSD,2026-07-10,71,2026-07-09,4123.75,4077.93,4138.09,4054.23,103.4821,61.8799,4105.3567,4156.4833,4072.6233,4189.2167,4021.4967,4240.3433,3988.7633,4126.23,4138.09,4114.25,4122.47,77.0629,55.4391,4124.9367,4135.6233,4111.7833,4148.7767,4101.0967,4159.4633,4087.9433,2026-W27,4104.4633,4265.8467,4013.5867,4356.7233,3852.2033,4518.1067,3761.3267,2026-W27,4117.3667,4234.0733,4058.2633,4293.1767,3941.5567,4409.8833,3882.4533,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4202.71,4021.75,4481.46,3943.08,4180.52,4021.75,4409.48,3959.13
XAUUSD,2026-07-13,72,2026-07-10,4119.23,4124.94,4134.83,4072.89,101.8964,91.1024,4108.9833,4145.0767,4083.1367,4170.9233,4047.0433,4207.0167,4021.1967,4087.62,4115.52,4072.89,4108.5,76.68,75.1733,4098.97,4125.05,4082.42,4141.6,4056.34,4167.68,4039.79,2026-W28,4114.5633,4207.3767,4026.4167,4295.5233,3933.6033,4388.3367,3845.4567,2026-W28,4103.59,4185.43,4026.66,4262.36,3944.82,4344.2,3867.89,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4202.71,4021.75,4382.22,3943.08,4180.52,4021.75,4382.22,3959.13
XAUUSD,2026-07-14,73,2026-07-13,4000.97,4097.63,4103.05,3986.64,103.6886,0.0,4030.22,4073.8,3957.39,4146.63,3913.81,4190.21,3840.98,4062.33,4063.94,3986.64,4002.01,79.6271,0.0,4017.53,4048.42,3971.12,4094.83,3940.23,4125.72,3893.82,2026-W28,4114.5633,4207.3767,4026.4167,4295.5233,3933.6033,4388.3367,3845.4567,2026-W28,4103.59,4185.43,4026.66,4262.36,3944.82,4344.2,3867.89,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4180.52,3986.64,4382.22,3943.08,4180.52,3986.64,4382.22,3959.13
XAUUSD,2026-07-15,74,2026-07-14,4052.87,4005.29,4103.17,3983.65,101.0786,30.5007,4046.5633,4109.4767,3989.9567,4166.0833,3927.0433,4228.9967,3870.4367,4081.57,4100.62,4042.83,4055.78,75.7821,33.5517,4066.41,4089.99,4032.2,4124.2,4008.62,4147.78,3974.41,2026-W28,4114.5633,4207.3767,4026.4167,4295.5233,3933.6033,4388.3367,3845.4567,2026-W28,4103.59,4185.43,4026.66,4262.36,3944.82,4344.2,3867.89,2026-06,4165.5133,4387.9467,3785.1567,4768.3033,3562.7233,4990.7367,3182.3667,2026-06,4163.5933,4368.0567,3811.7467,4719.9033,3607.2833,4924.3667,3255.4367,4138.09,3983.65,4382.22,3943.08,4138.09,3986.64,4382.22,3959.13
